Gloss,Korlai,Daman,Diu,Sri Lanka PT,Kannur,Malacca,Macau,Tugu/Batavia,Santiago CV,Santo Antão CV,SãoVicente CV,Fogo CV,Brava CV,Santome,Fá d'Ambô,Principense,Angolar,Guinea Bissau,Casamancese,Papiamento,Palenquero,Cavite Chabacano,Ternate Chabacano,Zamboanga Chabacano,Karipuna,Louisiana,Guianese,Haitian,Mauritian,Guadeloupean,Martinican,Saint Lucian,Réunionese,Seychellois
ice,bəɾəf,dʒel,dʒel,ajs,ajs,,,agupedɾa,ʒɛlu,ʒel,ʒel,ʒelu,ʒelu,ʒelu,,,,ʒelu,,ejs,,jelu,jelu,,laglas,laglas,glas,glas,laglas,glas,glas,laglas,,glasɔ̃
if,ʃi,si,si,see,sə,kantu,si,kalu,si,se,se,si,si,ʃi,si,ʃi,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si,si
in,supɛɾt,də,ʒũtdə,ntu,,na,na,dentəɾ,nɐ,nɐ,dẽt,na,na,n,ni,na,ni,nɐ,,den,lendɾo,na,na,na,ãndã,dã,ã,nã,dã,ã,ã,ã,dã,dã
kill,mata,mata,mata,mataa,matæ,mata,,mata,matɐ,mata,mɐta,mɐtɐ,mata,mata,mata,mata,mata,matɐ,mata,mata,mata,mata,mata,mata,tʃue,tʃwe,tʃwe,tuje,tuje,cwe,cwe,ʧuje,tje,tuje
knee,dʰopa,indʒwel,dʒwej,indʒuʋej,,nzelu,,indʒabel,dwedʒu,,,dwedʒu,,zũta,ozojo,oze,mpuna,dʒudʒʊ,,ɾudija,luɾia,rudiljas,rudiljas,rudiʎas,ʒunu,ʒnu,ʒunu,,zenu,ʒunu,ʒunu,ʒunu,zonu,zenu
know,sabe,sabe,sabe,saʋa,sabɛ,sabe,sabe,kaŋse,sɐbi,sɛb,sɐbe,sɐbe,sabe,se,xonose,sebe,eta,sibi,sebe,sabi,sabe,sabi,sabi,sabi,save,kõne,save,kõnẽ,kone,sav,sav,sav,kone,kone
lake,təla,tajnk,tãk,tanki,,,,lugaɾagu,lɐgwɐ,lɐgoɐ,pɔsɐ,lɐgoɐ,lɐgoɐ,oljo,,lagu,,lagu,,lago,,lagu,lawa,,lag,lak,lak,etã,ɣezeɣvwaɣ,lak,lak,lak,,lak
laugh,ɾʰi,ɾi,ɾi,ɾii,ɾihɛ,ri,ɾi,ɾi,ɾi,eʀi,eʀi,aɾi,aɾi,li,li,rĩ,di,ɲiɲi,,aɾi,ɾi,ri,reji,rei,ahi,ɾi,aʁi,ɣi,ɣiɣ,ɣi,ɣi,wi,ʀi,ɣiɣe
leaf,fol,fol,foj,fɔɔja,fɔʎə,fola,fɔlja,fola,fodʒa,fɔʎa,fɔʎa,fɔdʒa,fɔdʒa,fja,fol,fja,fja,foʎɐ,paɟa,foja,,ohas,ohas,ohas,fej,fej,fej,fɛj,fej,fej,fej,fej,fej,fej
left,dawɾibadzu,iʃkeɾd,ladiskeɾd,majskaɾda,left,skerdu,,,skɛɾdɐ,ʃkeɾdɐ,ʃkeɾdɐ,skɛɾdɐ,skɛɾdɐ,ʃkɛdu,skɛɛdʒi,kjɛdɛ,sikɛdu,ʃkeɾdɐ,sikerdu,ɾobes,ikjedda,iskjeɾda,kaliwa,iskjeɻda,gɔʃ,goʃ,ɡoʃ,gɔʃ,gos,goʃ,goʃ,gɔʃ,,gos
leg,pe,pe,pɛ,pee,pɛ,perna,peɾna,pew,pɛ,pɛɾna,pɛɾnɐ,pɛ,pɛɾnɐ,ɔpɛ,pɛːna,pɛna,ope,perna,pe,pia,pjenna,pjeɾna,pjeɾna,pjeɻna,ʒam,ʒãm,ʒãm,ʒãm,lazam,ʒãm,ʒãm,ʒãm,,lazãm
lie,koɾppiʃad,diskənsa,diskənsa,detaa,dɛtɛ,deta,lagaɾtia̹,,detɐ,deta,deta,detɐ,deta,dɛta,,,,ditɐ,dita,lɛx,ɲiŋgota,,kusta,ligid,kuʃe,kuʃe,kuʃe,kuʃe,alõze,lɔ̃ʒe,lɔ̃ʒe,kuʃe,kuse,alɔ̃ze
live,ʋibhika,vive,vive,ʋiʋe,,bibe,vivu,vivi,bibi,vive,vive,vive,vive,vive,ta,veve,ta,vivɪ,,biba,bibi,bibi,bibi,bibi,hete,viv,viv,viv,viv,viv,viv,viv,,ɣeste
liver,fig,fig,fig,fiʋdu,liveɾ,fildu,,koɾsaŋ,figu,fig,fig,figu,figɐdu,figadu,fugudu,figadu,figadu,figɐdu,,higɾa,igaɾo,igadu,ataj,igadu,fwa,fwa,fwa,fwa,lefwa,fwa,fwa,fwa,fwa,lefwa
long,kopɾid,kumpɾid,kõpɾid,kumpɾiidu,kumpɾidə,kumpridu,kumpɾidu,kumpɾidu,kũpɾidu,kũŋpɾid,kũpɾid,kũpɾidu,kũpɾidu,lõgo,loŋgo,lõgo,lõgo,kumpridʊ,kumpridu,laɾgu,lago,laɾgu,laɾgu,laɻgu,lɔ̃,lõ,loŋ,lõ,loŋ,loŋ,lɔ̃,lɔ̃ŋ,lɔ̃g,lɔ̃
louse,pijol,pjoʎ,piol,pijooj,pioji,pjolu,,piolu,pjodʒu,pjoj,pjoj,pjodʒu,pjodʒu,idu,idu,idu,idu,kɐɾɐ̃gɐ,,pjew,,piohu,pjohu,,pu,pu,pu,pu,lipu,pu,pu,pu,pu,lipu
man(adultmale),ɔm,ɔm,ɔm,ɔɔmi,ɔmi,omi,ome,omi,ɔmi,om,ɔm,ɔmi,ɔmi,ɔmɛ,ɔmɛ,ɔmi,ɔmɛ,omɪ,womi,hɔmbeɾ,ombe,ombɾi,ombɾi,ombɾi,ɔm,œ̃nɔm,wõm,nɔm,zom,nɔ̃m,nɔ̃m,nɔ̃m,zom,zom
man(humanbeing),,,,pesoaa,,kletura,,dʒentiomi,ɐlgẽ,psoɐ,psoɐ,ɐɾgẽ,,kliʃtõ,ŋe,nĩge,nĩŋe,pɛkadoɾ,,hende,hende,henti,henti,piɻsona,mun,mun,,,dimun,mun,mun,mun,mun,ɟimun
many,mɔt,mwit,mujt,mujtu,,tantu,mutu,tantu,tʃew,mut,tʃew,tʃew,tʃew,maʃimõtʃi,mɔ̃tʃi,mõtʃi,motʃi,tʃiw,ciw,maʃa,mutʃo,mutʃu,mutʃu,mutʃu,boku,boku,boku,ãpil,buku,ãpil,ãpil,bɔku,boku,boku
meat,kʰaɾm,kaɾn,kaɾ,kaaɾni,kaɾni,kandri,kaɾne,kaɾni,kaɾni,keɾ,kaɾ,kaɾni,kaɾni,kani,xaani,ukani,kani,karni,karna,kaɾni,kanne,kaɾni,kaɾni,kaɻni,laʃe,vjãn,vjãn,vjãn,lavjã,vjãn,vjãn,vjãn,vjã,lavjã
moon,,lu,lu,luma,luʋə,luŋa,lua,luŋaɾ,lwɐ,,,,,nwa,nwa,unwa,mbezi,luŋa,luŋa,luna,luna,luna,luna,luna,lalin,lalin,lalin,,lalin,lalin,lalin,lalin,lin,lalin
mother,maj,maj,mãj,maj,maj,maj,mɐj,maj,mɐj,mẽ,mɐ̃j,ma,maj,mama,majn,mwĩ,mama,mamɛ,mamɛ,mama,magɾe,madɾi,madɾi,nana,mãmã,momã,mãmã,mãmã,mama,mãmã,mãmã,mãmã,mãmã,mãmã
mountain,sɛrgran,montaɲ,,montaɲa,montaɲə,montaɲa,,monti,mũti,mõnt,mõt,mũti,mõti,oke,iki,okje,lõde,mõtaɲɐ,,seɾu,montaɲa,monti,monti,monti,mõtãj,mõtãɲ,mõtãɲ,mɔn,mõtãj,mɔ̃taj,mɔ̃taj,mɔ̃tãj,mɔ̃tã,mɔ̃tã
mouth,bok,bok,bok,booka,bɔkə,boka,bɔka,boka,bɔkɐ,bɔka,bɔka,bɔka,bɔka,bɔkɐ,boxa,ubukɐ,bokɐ,bokɐ,boka,boka,boka,boka,boka,boka,buʃ,buʃ,buʃ,buʃ,labus,ɟol,buʃ,buʃ,bus,labus
name,nom,nom,nom,nɔɔmi,nɔmi,nomi,nome,nomi,nɔmi,nom,nɔm,nɔmi,nɔmi,nɔmi,namu,nɔmi,nɔmi,nɔmi,nomi,nɔmbəɾ,,nombɾi,nombɾi,nombɾi,nõ,nõ,nõ,nõ,nõ,nɔ̃,nɔ̃,nɔ̃,nɔ̃,nɔ̃
narrow,tʃũntʃ,estɾet,,istɾeetu,idungija,gapidu,finu,apeɾtadu,peɾtadu,ʃtɾet,ʃtɾet,stɾetu,stɾetu,fĩfi,,tʃɛkɛtʃɛkɛ,,,,smal,aŋgoto,istɾetʃu,istɾetʃu,,sehe,etɾwa,etʁɛt,etwat,seɣe,etwɛt,etwet,etwet,,etɣwat
near,pɛɾt,pɛɾt,pɛɾt,pɛɛɾtu,pɛɾtə,pertu,peɾtu,peɾtu,pɛɾtu,peɾt,pɛɾt,peɾtu,peɾtu,pɛtu,pɛɛtu,pɛtu,pɛtu,pɛɾtu,pertu,seɾka,sekka,seɾka,seɾka,seɻka,phɔʃ,kote,oʁa,pɣe,pɣe,tupɣe,tupɣe,pwe,pjɔɔs,pɣe
neck,biskos,gaɾgãt,,piskoos,piskos,garganta,,piskosu,piskɔs,peskos,peskos,piskos,piskos,klɔ̃klɔ,gotʃi,koto,sĩgo,gɐrgɐ̃tɨ,,nɛk,pekweso,peskwesu,kwelju,peskwesu,gɔʒ,ku,goʁʒ,ku,liku,ku,ku,ku,ku,liku
new,nob,noʋ,noʋ,nooʋ,nɔʋə,nubu,novu,nobu,nɔbu,nov,nov,nɔbu,nobu,nɔvu,nɔvu,nɔvu,nɔvu,nobu,nobu,nobo,nwebo,nwebu,nwebu,nwebu,nɔv,nuvo,nɔv,nuvo,nuvo,nuvo,dɛnje,"nɛf,nivo",nev,nef
night,anot,anot,nojt,anooti,nojti,anuti,ano̹te,anoti,noti,not,dnot,noti,noti,notʃi,notʃi,unotʃi,noti,nojtɨ,noti,notʃi,notʃe,notʃi,notʃi,notʃi,nwit,nwit,lanwi,nwit,lanwi,lãnuit,lãnwit,lãnɥit,nwit,lanwit
nose,naɾis,naɾis,naɾis,naaɾis,naɾis,naris,naɾiz,naɾis,nɐɾis,neɾis,neɾiʃ,nɐɾis,naɾis,liʃi,liʃi,iriʃɪ,lisɪ,naris,naris,naniʃi,naɾise,naɾis,naɾis,naɾis,ne,ne,nẽ,ne,nene,nɛ̃,nɛ̃,ne,ne,nɛ̃nɛ̃
not,nu,nun,nã,na,na,ŋka,noŋ,na,kɐ,n,kɐ,kɐ,kɐ,inɔ,koma,kumɐ,wa,naw,naw,no,nu,no,no,no,nõ,pa,nõ,pa,pa,pa,pa,pa,pa,pa
old,ʋɛl,ʋɛʎ,ʋɛj,ʋɛɛj,ʋæli,belu,velu,belu,bedʒu,vej,bedʒ,bɛdʒu,bɛdʒu,vɛ,vɛ,vɛ,vɛ,bedʒʊ,beɟu,biew,bjeho,bjehu,bjehu,bjehu,vje,vje,vje,vje,vie,vie,vje,vie,vje,vje
one,ũ,ũ,ũ,uŋa,uŋa,ŋwa,uŋa,uŋ,ũ,ũ,ũ,ũ,ũ,ũa,ũ,ũa,ũa,ũ,unsoɲ,ũ,un,unu,una,un,wun,ẽn,un,jun,ẽ,jɔ̃n,jɔ̃n,jõn,ɛ̃,ɛ̃
other,majzũ,ot,ot,ootɾu,otɾə,ɔːtu,otɾuŋa,otəɾ,otu,ot,ot,otu,otu,otlo,utulu,otu,oto,otɾu,wutur,otɾo,uto,otɾu,otɾu,otɾu,wɔt,dɔt,wot,zɔt,lot,lot,lot,lɔt,dot,lot
play,biɾka,bɾinka,bɾĩka,bɾinka,bɾinkə,briŋka,brinka̜,bɾiŋka,dʒugɐ,ʒga,bɾĩka,dʒuga,ʒuga,flɔga,fuuga,fɔga,fɔga,tɔkɐ,bɾiŋka,uŋa,hugwa,huga,huga,huga,ʒue,ʒwe,ʒwe,ʒwe,zwe,ʒwe,ʒwe,ʒwe,zwe,zwe
pull,puʃa,puʃa,,pusaa,pwisɛ,pusa,ela̹,pusa,puʃɐ,pʃa,pʃa,puʃa,puʃa,saja,sɛa,saa,sie,dʒũndɐ,ɟunda,ala,tila,ila,tiɾa,ala,hale,hale,tiʁe,tiɣe,tiɣe,ɣale,ɣale,tiwe,ʀale,ciɣe
push,loʈu,empuʀa,atəɾa,taɭɭi,puʃɛ,tola,,,pĩtʃɐ,ĩŋpuʀa,ĩpuʀa,pĩtʃa,pĩtʃa,pĩsa,piza,pĩsa,pĩθa,pĩtʃɐ,piɲca,puʃa,lempuha,impuha,tula,puha,puse,puse,puse,puse,puse,buɣe,buɣe,puse,puus,puse
rain,tʃu,tʃu,tʃuʋ,tʃuuʋa,tʃuʋə,tʃwa,tʃuva,tʃua,tʃubɐ,tʃuvɐ,tʃuvɐ,tʃubɐ,tʃobe,subɐ,ʃuva,usuvɐ,θubɐ,tʃubɐ,coba,awaseɾu,jubja,agwaseɾu,agwaseɾu,ulan,lapli,lapli,lapli,pli,lapli,lapli,lapli,lapli,lapli,lapli
red,biɾmel,enkəɾnad,vɛɾmej,bɾumaaj,bɾəmɛl,brumilu,venelu,,buɾmedʒu,veɾmej,bɾumedʒ,bɾumedʒu,bɾumedʒu,vleme,vɛmɛju,veme,veme,burmejʊ,burmeɟu,kɔɾa,koɾoɾa,kuluɾaw,kuleɾaw,kuluɾaw,huʒ,ɾuʒ,,ɣuʒ,ɣuz,wuʒ,wuʒ,wuʒ,ʀuz,ɣuz
right,mãwdɾet,laddɾet,laddɾet,mandɾetu,,dretu,dɾetu,dɾetu,diɾetɐ,dɾet,dɾet,dɾetu,dɾetu,dletu,dɛɛta,detu,detu,diɾejtɐ,,dɾetʃi,deɾetʃa,deɾetʃu,deɾetʃu,diɾetʃa,dhɛt,dɾwa,dʁɛt,dwat,dɣwat,dwɛt,dwet,dwɛt,dʀɛt,dɣwat
river,ɾʰibeɾ,ʀi,ɾi,ɾiiʋ,,riw,,ɾiu,ɾiw,ʀiw,ʀiw,ɾiw,ɾiw,jo,lubɛla,orjo,ojo,riw,,ɾiw,ɾio,riw,riju,riw,lahivje,ɾivjɛ,laʁivje,laɣivjɛ,laɣivjeɣ,laɣivjɛ,laɣivjɛ,larivjɛ,,laɣivjɛɛ
road,kami,kamiɲ,kamiŋ,kamiim,kamiɲə,rua,ɾua,kamiɲu,stɾadɐ,ʃtɾadɐ,ʃtɾadɐ,stɾadɐ,stɾadɐ,kamja,xamĩu,kumĩ,mɔdja,kɐmiɲu,kamiɲu,kaminda,kaje,kaminu,kaminu,kaminu,ʃimẽ,ʃmẽ,ʃimẽ,ʃemẽ,simẽ,ʃimɛ̃,ʃimɛ̃,ʃimɛ̃,semɛ̃,semɛ̃
root,ɾʰajs,ʀajz,ɾaiz,ɾɛzə,ɾoːt,rais,,ɾais,ɾɐis,ʀeiʃ,ʀeiʃ,ɾais,ɾais,lɛʒi,lɛze,rɛʒi,ndatʃi,ɾaiʃ,,ɾais,,reis,reis,reis,hasin,ɾasin,ʁasin,ɣasin,ɣasin,ɣasin,ɣasin,wsin,ʀasin,ɣasin
rope,kɔɾd,kɔɾd,kɔɾd,kɔɔɾda,kɔɾdə,kodra,koɾda,koɾda,kɔɾdɐ,kɔɾdɐ,kɔɾda,kɔɾdɐ,kɔɾdɐ,kɔdɔ,xɔɔdɔ,kwaa,kɔdɔ,kɔɾdɐ,korda,liɲa,,mikati,mikati,,kɔd,kɔɾd,kɔʁd,kɔd,lakoɣd,kɔd,kɔd,kɔd,kɔɔd,lakɔɔd
rotten,pod,pod,pod,poodɾi,apodɾə,podri,amiz,fedeɾ,podɾi,podɾ,podɾ,podɾi,podɾi,pɔdlɛ,,pode,,podɾi,,putɾi,,pudɾidu,bolok,bulug,puhi,puɾi,puʁi,puɣi,puɣi,puɣi,puɣi,puwi,,puɣi
round,gol,ɾɛdɔn,ɾɛdɔnd,ɾɔnt,ɾɛdondə,rədonu,,bulat,ɾodõdu,,,ɾudɔndu,,lɛ̃dɔ̃dɔ,lɔdɔ̃da,rɔdɔ̃dɔ,kɔ̃dɔgaɾu,rɨdõdu,rodondu,ɾondo,,redondu,redondu,ridondu,hõ,ɾõ,ʁõdi,,ɣõ,wɔ̃,wɔ̃,wɔ̃,ʀɔ̃,ɣɔ̃
rub,masa,iʃpɾega,,ɾusaa,ɾub,rusa,rusa̹,ɾusa,fɛɾgɐ,ʃfɾega,ʃfɾega,fɾega,fɾega,flɛga,fɛɛga,fɛga,fɛga,reia,ferga,fɾega,,,kuskus,kusu,fote,fɾote,fʁote,fɣote,fɣote,fwote,fwote,fote,,fɣote
salt,sal,sal,sal,saal,sal,sal,,sal,sɐl,sal,sal,sal,sal,salu,salu,usalu,θalu,saɫ,sal,salu,sa,sal,sal,sal,dʒisɛl,disɛl,sɛl,sɛl,disel,sɛl,sɛl,sel,sɛɛl,ɟisel
sand,ɾeti,aɾe,aɾej,aɾiija,baʀə,aria,,aɾia,ɾejɐ,eɾeɐ,aɾeɐ,aɾejɐ,aɾejɐ,alja,alɛa,arja,nθeke,rejɐ,ɾeɟa,santu,,aɾena,haɾena,aɾena,bãsab,sab,,sab,disab,sab,sab,sab,sab,ɟisab
say,hala,fala,dize,falaa,,fala,fala̜,fala,flɐ,dze,dze,fɾɐ,fɾɐ,fla,faa,fa,fa,fala,fala,bisa,abla,abla,bisa,abla,dʒi,di,di,di,diɣ,ɟi,ɟi,di,dii,ɟii
scratch,ɾʰãja,ʀaɲa,ɾaŋa,buɾaa,ɾaɲæ,raɲa,kusa̜,,kosɐ,kosa,kosa,kosɐ,kosa,fɔnɔ,kusa,ɲanu,kɔθa,raɲɐ,kosa,huɲa,,raska,raska,raska,ghate,gɾate,gʁate,gɣate,gɣate,gɣafijɛ̃,gɣafijɛ̃,kudgwif,ʀak,gɣate
sea,maɾ,maɾ,maɾ,maaɾa,maɾə,mar,maɾ,maɾ,maɾ,maɾ,maɾ,maɾ,maɾ,ɔmali,ɔmɛ,omwe,miõgɐ,maɾ,maɾ,laman,,plaja,lamaɾ,aplaja,lasulamɛ,lamɛɾ,lãmɛ,lãmɛ,lameɣ,lãmɛ,lãmɛ,lãmɛ,lamɛʀ,lãmɛɛ
see,,,,ojaa,,ola,ola̜,ola,ɔdʒɐ,oja,ojɐ,odʒɐ,odʒa,be,be,ve,be,ɔdʒa,woɟa,miɾa,mina,miɾa,miɾa,miɾa,wɛ,wa,wɛ,wɛ,tɣuve,wɛ,wɛ,wɛ,waa,waa
seed,simɛt,siment,simẽt,,fɾujtɛ,suminti,,sumenti,simẽti,smẽnt,smẽt,simẽti,simẽti,ʃimɛ̃tʃi,ʃimɛ̃tʃi,ʃimɛ̃tʃi,ikwe,simenti,garã,simia,simia,pipita,pipita,pipita,ghɛn,gɾẽn,gʁɛn,gɣẽn,lagɣen,gɣɛ̃n,gɣɛ̃n,gwɛ̃n,gʀɛ̃,lagɣɛ̃
sew,kudze,kuʃtɾa,,kuza,kuze,kuze,kostuɾa̹,kudʒi,kosi,kzɛ,kozɛ,koze,kozɛ,kloze,xoze,koze,koðe,kusi,kose,kose,,kusi,kuse,kuse,kud,koud,kud,kud,kud,kud,kud,kud,,kud
sharp,agud,agud,,aʋdu,agud,agudu,,agudu,moladu,molɔd,molɔd,fjadu,fjadu,mɔladu,xɔtadu,,,,,skɛɾpi,,agudu,agudu,pinu,fite,kupã,,file,fite,file,file,file,,fite
short,kuɾt,kuɾt,kuɾt,kuuɾtu,kuɾtə,kutru,bantu,kuɾtu,kuɾtu,kuɾt,kuɾt,kuɾtu,kuɾtu,kutu,kuutu,kutu,kutu,kuɾtu,kuɾtu,kɔɾtiku,koto,koɾtu,koɾtu,koɻtu,kut,kuɾt,kuʁt,kut,kuɣ,tupici,kut,kut,,kuut
sing,kata,kanta,kanta,kantaa,kantɛ,kanta,,kanta,kantɐ,kɐ̃ntaɾ,kãta,kãtɐ,kãtɐ,kɐ̃ta,xɐ̃nta,kɐ̃ta,kata,kãntɐ,kanta,kanta,kanda,kanta,kanta,kanta,ʃãnte,ʃãte,ʃãte,ʃãte,sãte,bajlavwa,ʃãte,ʃãte,,sãte
sit,sata,santa,sẽta,santaa,santɛ,santa,senta̜,santa,ʃĩtɐ,sẽnta,sẽta,sĩtɐ,sĩta,tasɔ̃,sẽta,tusɐ̃,taθɔ,sintɐ,sinta,sĩta,senta,sinta,sinta,sinta,asi,asit,asi,ʃita,asize,size,size,asid,asize,asize
skin,pɛl,pel,pɛl,pɛɛli,pæli,pɛli,pele,peli,pɛli,pel,pɛl,pɛli,pɛli,pɛli,pɛli,pɛli,pɛli,pɛlɪ,,kweɾu,pejeho,abilidad,piljehu,piʎehu,lapo,lapo,lapo,po,lapo,lapo,lapo,lapo,po,lapo
sky,sews,sɛw,sɛw,sɛɛʋ,heaven,sew,kɛu,seu,sɛw,sɛw,sɛw,sɛw,sɛw,ɔsɛ,ɔsɛ,ɔsɛ,ɔθɛ,sɛw,,ʃelu,sjelo,sjelu,sjelu,sjelu,siɛl,sjɛl,sjɛl,lesjɛl,lesjel,siel,sjɛl,sjɛl,,lesjel
sleep,duɾmi,duɾmi,duɾmi,dɾumii,dɾumi,durmi,duɾmi,dɾumi,dɾumi,duɾmi,duɾmi,dɾumi,duɾmi,dumini,dʒjuni,dimi,dumi,durmɪ,durmi,dɾumi,ndɾumi,duɾmi,duɾmi,duɻmi,dhɔmi,dɔɾmi,,dɔmi,doɣmiɣ,dɔmi,dɔmi,dɔmi,dɔɔmi,dɔɔmi
small,piken,piken,piken,pikiniim,piken,keninu,sajkɔ,peklinu,pikinɔti,peknin,pikinin,pikenu,pikinɔti,tʃɔkɔ,kete,tʃɔkɔlɔ,tʃɔ,pikininu,pikininu,tʃikitu,ndun,tʃikito,tʃikitiŋ,djutay,pitʃi,ti,ti,piti,ti,ci,ci,piti,ti,ci
smell,tʃeɾʋi,tʃeɾa,tʃeɾa,tʃeɾaa,tʃeɾə,tʃera,tʃeɾa̹,tʃeɾa,keɾɐ,tʃeɾɛ,tʃeɾɛ,tʃeɾɐ,tʃeɾɐ,sɛla,sɛla,sɛra,θɛla,tʃɛɾɐ,ceɾa,ole,hele,uli,ule,ule,sãntʃi,sãti,sãti,sãti,sãti,pɣãlodɛ,pɣãlodɛ,lɔde,,sãci
smoke,fum,fum,fum,fuumu,fumə,fumu,fumu,fuma,fumɐ,fum,fma,fumu,fumɐ,igligu,igogo,igigu,iligu,fumɐ,,huma,,puma,umu,umu,lafimi,bukãn,lafimẽ,lãfimẽ,lafime,lafimɛ̃,lafimɛ̃,lafime,fime,lafime
smooth,lidz,liz,,litʃiin,,,litʃiŋ,,lizu,lis,liz,lizu,lizu,,pɔtɔpɔtɔ,pɛtɛ,,,lisu,lizu,,lisu,rebalosu,lisu,lis,plõʒ,lis,lis,lis,lis,lis,lis,,maabɣe
snake,kɔb,kɔb,kɔb,koobeɾ,kɔbɾə,kobra,kobɾa,kobɾa,kɔbɾɐ,kobɾa,kɔbɾɐ,kobɾɐ,kobɾɐ,kɔblɔ,xobolo,kɔbɔ,kiõgo,kobra,kobɾa,kolebɾa,gwaddakamino,kulebɾa,kulebɾa,kulebɾa,seapã,sɛɾpã,seʁpã,sɛpã,seɣpã,sɛpã,sɛpã,sɛpã,,sɛɛpã
snow,bəɾəf,dʒel,,,ajs,,,nevi,nevi,nev,nɛv,nevi,nevi,,nɛvi,,,,,snew,,njebi,njebi,,,nɛʒ,,lanɛʒ,lanez,laglas,lanɛʒ,lãeʒ,,lãnɛz
some,angu,algũ,ãgu,aluŋ,,kalteŋ,kwantu,aluŋ,ɐlgũ,kziɲɐ,ũʃ,ũpoku,ũpoku,ũadosu,almidudʒi,,,aɫgũʃ,,algun,aggun,poku,pukitiŋ,algun,unde,kɛk,kɛk,kɛk,detɣwa,jɔ̃nde,jɔ̃nde,tibrɛ̃,,ɛ̃pe
spit,kuspi,kuspi,kuspi,kuspii,kuspi,kuspi,kuspi,pintʃakuspi,kuspi,kʃpi,kuʃpi,kuspi,guspi,kupi,,kupi,kupi,kuʃpi,,skupi,kupi,iskupi,iskuptja,iskupi,khaʃe,kɾaʃe,kʁaʃe,kɣaʃe,kɣase,kɣaʃe,kɣaʃe,kwaʃa,,kɣase
split,abɾi,abɾi,,,,fende,fende,fendi,pɐti,rɐtʃa,ʀɐtʃa,ɾɐtʃa,ɾɐtʃa,dividi,lasa,tɔlɔ,taja,dividi,,sepaɾa,ɾibiɾi,rumpi,paɾti,dividi,sepahe,fãn,sepaʁe,fãn,fan,fãn,fãn,fãn,,fãn
squeeze,ispərme,iʃprəme,,ispɾome,,bakwa,katʃipia̹,,spɾemi,ʃpreme,ʃpɾeme,spɾeme,spɾeme,pleme,peeta,peme,pɛta,peɾmi,mpeɾta,pɾimi,,ispɾimi,tʃaka,,sehe,kwẽse,seʁe,seɣe,seɣe,seɣe,seɣe,sewe,,pɣese
stab,fuɾa,fuɾa,fuɾa,fiɾi,tʃutʃɛ,fizga,fakia̹,,dɐ ku fakɐ,ʃfkja,dadfakɐ,dɐkufakɐ,dɐkufakɐ,dafaka,,,,puɲɛlɐ,,hinka,,,,sagsag,,pike,pike,futjunkudkuto,pwagnaɣde,pɛse,pice,pɔ̃jade,,pike
stand,ipetɛ,fikaimpe,ẽpe,impɛ,impɛ,impe,empe,empe,lɐbɐ̃tɐ,lvãnta,levɐ̃ta,sɐke,sɐke,mũdʒa,lããta,mũdja,lata,jɐ̃dɐ,sikidu,paɾa,ta,libanta,libanta,libanta,leve,kãpe,leve,kãpe,dibute,leve,leve,dubut,debute,ɟibut
star,istɾel,istɾel,istɾel,istɾɛɛla,ɪstɾɛlə,strela,estɾela,istɾela,stɾɛla,ʃtɾelɐ,ʃtɾela,stɾela,stɾela,ʃtlɛlɐ,tɛɛla,ʃtɛlɐ,tetẽbu,ʃtrelɐ,,stɾea,abaleŋga,estɾelja,estɾelja,istɾeʎa,zɛtwɛl,etwal,zetwɛl,etwal,zetwal,zetwɛl,zetwal,etwal,zetwal,zetwal
stick,paw,paw,paw,paaʋ,kanə,paw,pau,paw,pɔ,ʃpet,paw,po,po,pɔ,buudã,upa,pɔ,pɔ,po,palu,palo,kanja,palu,palitu,batõ,batõ,batõ,batõ,batõ,batɔ̃,bwa,batɔ̃,,batɔ̃
stone,pɛd,pɛd,pɛd,pɛɛdɾa,pædɾə,pedra,pedɾa,pedɾa,pɛdɾɐ,pɛdɾa,pɛdɾɐ,pedɾa,pedɾa,budu,budu,ubudu,budu,pɛdɾɐ,pedɾa,pjeda,pjedɾa,pjedɾa,pjedɾa,pjedɾa,hɔʃ,kaju,ʁɔʃ,ɣoʃ,ɣos,ɣoʃ,ɣoʃ,pjɛ,ʀɔs,ɣos
straight,dɾɛtuɾ,dɾet,dɾet,dɾeetu,dɾɛtə,stretu,,luɾus,ɾetu,ʀet,ʀet,ɾetu,ɾetu,dletu,deetu,deetu,deetu,diɾitu,,diɾɛkt,,deɾetʃu,deɾetʃu,deɾetʃu,dhɛt,dɾwat,dʁɛt,dwat,dɣwat,dwɛt,dwɛt,dwet,,tudɣwat
suck,mamada,tʃupa,,tʃupaa,tʃupɛ,tʃupa,tʃupa,tʃupa,tʃupɐ,tʃpa,tʃpa,tʃupɐ,tʃupa,supa,supa,supa,θupa,tʃupa,cupa,tʃupa,,tʃupa,mama,mama,suse,sise,suse,suse,suse,sise,sise,suse,,sise
sun,sɔl,sɔl,sɔl,sɔɔl,sɔl,sol,sɔl,,sol,sol,sol,sol,sol,sɔlɔ,sɔlɔ,usɔlu,θɔlɔ,sɔl,sol,solo,so,sol,sol,sol,solej,solej,solej,solɛj,solej,solɛj,solɛj,sɔlɛj,solɛj,solej
